date,total_rides,classic_bikes,electric_bikes,docked_bikes,average_ride_duration,rides_by_members,rides_by_casual,avg_temperature,precipitation_in,wind_speed_mph
2023-12-20,2413,2284,129,0,11.465395766666667,2126,287,37.42,0.0,15
2023-12-21,2164,2070,94,0,11.6418669,1914,250,36.83,0.0,20
2023-12-22,1790,1728,62,0,10.255865916666666,1546,244,32.67,0.0,10
2023-12-23,1408,1365,43,0,11.606534083333335,1157,251,38.12,0.0,9
2023-12-24,1135,1105,30,0,14.090748883333333,928,207,43.71,0.01,7
2023-12-25,931,905,26,0,20.922663800000002,657,274,44.25,0.0,10
2023-12-26,1415,1366,49,0,13.065724366666666,1169,246,44.72,0.0,7
2023-12-27,1142,1106,36,0,12.485989483333332,985,157,44.6,0.0,20
2023-12-28,1384,1350,34,0,12.593208083333334,1171,213,49.71,1.31,29
2023-12-29,2068,2017,51,0,14.490328816666667,1603,465,48.7,0.09,17
2023-12-30,1646,1600,46,0,12.621506666666667,1252,394,43.5,0.0,20
2023-12-31,1550,1519,31,0,14.493548383333332,1200,350,42.12,0.0,20
